"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Music Ed- Choral (ME1)","2022-23","10.0","10"
"Never an Athlete","Music Ed- Choral (ME1)","2023-24","4.0","4"
"Never an Athlete","Music Ed- Choral (ME1)","2024-25","4.0","4"
"Never an Athlete","Music Ed- Instrumental (ME3)","2021-22","12.0","12"
"Never an Athlete","Music Ed- Instrumental (ME3)","2022-23","12.0","12"
"Never an Athlete","Music Ed- Instrumental (ME3)","2023-24","12.0","12"
"Never an Athlete","Music Ed- Instrumental (ME3)","2024-25","11.0","11"
"Never an Athlete","Music Education (ME)","2021-22","5.0","5"
"Never an Athlete","Music Education (ME)","2022-23","4.0","4"
"Never an Athlete","Music Education (ME)","2023-24","3.0","3"
"Never an Athlete","Music Education (ME)","2024-25","2.0","2"
"Never an Athlete","Musical Theater (MUST)","2021-22","161.0","161"
"Never an Athlete","Musical Theater (MUST)","2022-23","138.0","138"
"Never an Athlete","Musical Theater (MUST)","2023-24","135.0","135"
"Never an Athlete","Musical Theater (MUST)","2024-25","188.0","188"
"Never an Athlete","None (NONE)","2021-22","35.0","35"
"Never an Athlete","None (NONE)","2022-23","25.0","25"
"Never an Athlete","None (NONE)","2023-24","4.0","4"
"Never an Athlete","None (NONE)","2024-25","8.0","8"
"Never an Athlete","Nuclear Med Techn (NMT)","2021-22","11.0","11"
"Never an Athlete","Nuclear Med Techn (NMT)","2022-23","11.0","11"
"Never an Athlete","Nuclear Med Techn (NMT)","2023-24","14.0","14"
"Never an Athlete","Nuclear Med Techn (NMT)","2024-25","16.0","16"
"Never an Athlete","Nursing (NURS)","2021-22","64.0","64"
"Never an Athlete","Nursing (NURS)","2022-23","54.0","54"
"Never an Athlete","Nursing (NURS)","2023-24","48.0","48"
"Never an Athlete","Nursing (NURS)","2024-25","52.0","52"
"Never an Athlete","Oboe (OBOE)","2021-22","3.0","3"
"Never an Athlete","Oboe (OBOE)","2022-23","2.0","2"
"Never an Athlete","Organizational Leadership (ORLD)","2021-22","3.0","3"
"Never an Athlete","Organizational Leadership (ORLD)","2022-23","5.0","5"
"Never an Athlete","Organizational Leadership (ORLD)","2023-24","6.0","6"
"Never an Athlete","Organizational Leadership (ORLD)","2024-25","7.0","7"
"Never an Athlete","Organizational Leadership (ORLF)","2021-22","1.0","1"
"Never an Athlete","Paralegal Studies (PARA)","2021-22","34.0","34"
"Never an Athlete","Paralegal Studies (PARA)","2022-23","26.0","26"
"Never an Athlete","Paralegal Studies (PARA)","2023-24","34.0","34"
"Never an Athlete","Paralegal Studies (PARA)","2024-25","35.0","35"
"Never an Athlete","Percussion (PER)","2021-22","2.0","2"
"Never an Athlete","Percussion (PER)","2022-23","2.0","2"
"Never an Athlete","Percussion (PER)","2023-24","2.0","2"
"Never an Athlete","Percussion (PER)","2024-25","3.0","3"
"Never an Athlete","Philosophy (PHIL)","2021-22","6.0","6"
"Never an Athlete","Philosophy (PHIL)","2022-23","6.0","6"
"Never an Athlete","Philosophy (PHIL)","2023-24","2.0","2"
"Never an Athlete","Piano (PIA)","2021-22","6.0","6"
"Never an Athlete","Piano (PIA)","2022-23","9.0","9"
"Never an Athlete","Piano (PIA)","2023-24","14.0","14"
"Never an Athlete","Piano (PIA)","2024-25","12.0","12"
"Never an Athlete","Political Science (POS)","2021-22","31.0","31"
"Never an Athlete","Political Science (POS)","2022-23","22.0","22"
"Never an Athlete","Political Science (POS)","2023-24","26.0","26"
"Never an Athlete","Political Science (POS)","2024-25","20.0","20"
"Never an Athlete","Psychology (PSYC)","2021-22","163.0","163"
"Never an Athlete","Psychology (PSYC)","2022-23","144.0","144"
"Never an Athlete","Psychology (PSYC)","2023-24","156.0","156"
"Never an Athlete","Psychology (PSYC)","2024-25","159.0","159"
"Never an Athlete","Radiation Therapy Tech (RDTC)","2021-22","20.0","20"
"Never an Athlete","Radiation Therapy Tech (RDTC)","2022-23","16.0","16"
"Never an Athlete","Radiation Therapy Tech (RDTC)","2023-24","22.0","22"
"Never an Athlete","Radiation Therapy Tech (RDTC)","2024-25","21.0","21"
"Never an Athlete","Radiography Tech (RADT)","2021-22","30.0","30"
"Never an Athlete","Radiography Tech (RADT)","2022-23","26.0","26"
"Never an Athlete","Radiography Tech (RADT)","2023-24","41.0","41"
"Never an Athlete","Radiography Tech (RADT)","2024-25","62.0","62"
"Never an Athlete","Real Estate (REAL)","2021-22","9.0","9"
"Never an Athlete","Real Estate (REAL)","2022-23","10.0","10"
"Never an Athlete","Real Estate (REAL)","2023-24","19.0","19"
"Never an Athlete","Real Estate (REAL)","2024-25","16.0","16"
"Never an Athlete","Saxophone (SAX)","2021-22","1.0","1"
"Never an Athlete","Saxophone (SAX)","2023-24","1.0","1"
"Never an Athlete","Saxophone (SAX)","2024-25","1.0","1"
"Never an Athlete","Social Entrepreneurship (SENT)","2021-22","4.0","4"
"Never an Athlete","Social Entrepreneurship (SENT)","2022-23","3.0","3"
"Never an Athlete","Social Entrepreneurship (SENT)","2023-24","5.0","5"
"Never an Athlete","Social Entrepreneurship (SENT)","2024-25","5.0","5"
"Never an Athlete","Social Justice Studies (SJ)","2021-22","6.0","6"
"Never an Athlete","Social Justice Studies (SJ)","2022-23","7.0","7"
"Never an Athlete","Social Justice Studies (SJ)","2023-24","6.0","6"
"Never an Athlete","Social Justice Studies (SJ)","2024-25","1.0","1"
"Never an Athlete","Sociology (SOC)","2021-22","24.0","24"
"Never an Athlete","Sociology (SOC)","2022-23","19.0","19"
"Never an Athlete","Sociology (SOC)","2023-24","11.0","11"
"Never an Athlete","Sociology (SOC)","2024-25","9.0","9"
"Never an Athlete","Special Education (SPED)","2021-22","44.0","44"
"Never an Athlete","Special Education (SPED)","2022-23","37.0","37"
"Never an Athlete","Special Education (SPED)","2023-24","59.0","59"
"Never an Athlete","Special Education (SPED)","2024-25","71.0","71"
"Never an Athlete","String Bass (STB)","2021-22","5.0","5"
"Never an Athlete","String Bass (STB)","2022-23","3.0","3"
"Never an Athlete","String Bass (STB)","2023-24","3.0","3"
"Never an Athlete","String Bass (STB)","2024-25","1.0","1"
"Never an Athlete","Sustainability Studies (SUSF)","2021-22","1.0","1"
"Never an Athlete","Sustainability Studies (SUSF)","2024-25","2.0","2"
"Never an Athlete","Sustainability Studies (SUST)","2021-22","17.0","17"
"Never an Athlete","Sustainability Studies (SUST)","2022-23","14.0","14"
"Never an Athlete","Sustainability Studies (SUST)","2023-24","21.0","21"
"Never an Athlete","Sustainability Studies (SUST)","2024-25","16.0","16"
"Never an Athlete","Trombone (TRBN)","2021-22","1.0","1"
"Never an Athlete","Trombone (TRBN)","2023-24","2.0","2"
"Never an Athlete","Trombone (TRBN)","2024-25","3.0","3"
"Never an Athlete","Trumpet (TRPT)","2021-22","2.0","2"
"Never an Athlete","Trumpet (TRPT)","2022-23","1.0","1"
"Never an Athlete","Tuba (TUBA)","2021-22","1.0","1"
"Never an Athlete","Tuba (TUBA)","2023-24","1.0","1"
"Never an Athlete","Tuba (TUBA)","2024-25","1.0","1"
"Never an Athlete","Undecided (UNDD)","2021-22","52.0","52"
"Never an Athlete","Undecided (UNDD)","2022-23","53.0","53"
"Never an Athlete","Undecided (UNDD)","2023-24","51.0","51"
"Never an Athlete","Undecided (UNDD)","2024-25","48.0","48"
"Never an Athlete","Viola (VLA)","2021-22","3.0","3"
"Never an Athlete","Viola (VLA)","2022-23","6.0","6"
"Never an Athlete","Viola (VLA)","2023-24","6.0","6"
"Never an Athlete","Viola (VLA)","2024-25","6.0","6"
"Never an Athlete","Violin (VLN)","2021-22","10.0","10"
"Never an Athlete","Violin (VLN)","2022-23","6.0","6"
"Never an Athlete","Violin (VLN)","2023-24","12.0","12"
"Never an Athlete","Violin (VLN)","2024-25","16.0","16"
"Never an Athlete","Violoncello (VCEL)","2021-22","10.0","10"
"Never an Athlete","Violoncello (VCEL)","2022-23","11.0","11"
"Never an Athlete","Violoncello (VCEL)","2023-24","12.0","12"
"Never an Athlete","Violoncello (VCEL)","2024-25","12.0","12"
"Never an Athlete","Voice (VOI)","2021-22","24.0","24"
"Never an Athlete","Voice (VOI)","2022-23","18.0","18"
"Never an Athlete","Voice (VOI)","2023-24","20.0","20"
"Never an Athlete","Voice (VOI)","2024-25","23.0","23"
"Never an Athlete","Women's and Gender Studies (WMST)","2021-22","7.0","7"
"Never an Athlete","Women's and Gender Studies (WMST)","2022-23","4.0","4"
"Never an Athlete","Women's and Gender Studies (WMST)","2023-24","6.0","6"
"Never an Athlete","Women's and Gender Studies (WMST)","2024-25","2.0","2"
"Total","Total","2021-22","2332.0","2,332"
"Total","Total","2022-23","2157.0","2,157"
"Total","Total","2023-24","2287.0","2,287"
"Total","Total","2024-25","2567.0","2,567"
