Athletics Indicator,Major,Term,Distinct Students,Distinct Students.FORMATTED_VALUE
Never an Athlete,Social Entrepreneurship (SENT),2024-25,5,5
Never an Athlete,Social Justice Studies (SJ),2021-22,6,6
Never an Athlete,Social Justice Studies (SJ),2022-23,7,7
Never an Athlete,Social Justice Studies (SJ),2023-24,6,6
Never an Athlete,Social Justice Studies (SJ),2024-25,1,1
Never an Athlete,Sociology (SOC),2021-22,24,24
Never an Athlete,Sociology (SOC),2022-23,19,19
Never an Athlete,Sociology (SOC),2023-24,11,11
Never an Athlete,Sociology (SOC),2024-25,9,9
Never an Athlete,Special Education (SPED),2021-22,44,44
Never an Athlete,Special Education (SPED),2022-23,37,37
Never an Athlete,Special Education (SPED),2023-24,59,59
Never an Athlete,Special Education (SPED),2024-25,71,71
Never an Athlete,String Bass (STB),2021-22,5,5
Never an Athlete,String Bass (STB),2022-23,3,3
Never an Athlete,String Bass (STB),2023-24,3,3
Never an Athlete,String Bass (STB),2024-25,1,1
Never an Athlete,Sustainability Studies (SUSF),2021-22,1,1
Never an Athlete,Sustainability Studies (SUSF),2024-25,2,2
Never an Athlete,Sustainability Studies (SUST),2021-22,17,17
Never an Athlete,Sustainability Studies (SUST),2022-23,14,14
Never an Athlete,Sustainability Studies (SUST),2023-24,21,21
Never an Athlete,Sustainability Studies (SUST),2024-25,16,16
Never an Athlete,Trombone (TRBN),2021-22,1,1
Never an Athlete,Trombone (TRBN),2023-24,2,2
Never an Athlete,Trombone (TRBN),2024-25,3,3
Never an Athlete,Trumpet (TRPT),2021-22,2,2
Never an Athlete,Trumpet (TRPT),2022-23,1,1
Never an Athlete,Tuba (TUBA),2021-22,1,1
Never an Athlete,Tuba (TUBA),2023-24,1,1
Never an Athlete,Tuba (TUBA),2024-25,1,1
Never an Athlete,Undecided (UNDD),2021-22,52,52
Never an Athlete,Undecided (UNDD),2022-23,53,53
Never an Athlete,Undecided (UNDD),2023-24,51,51
Never an Athlete,Undecided (UNDD),2024-25,48,48
Never an Athlete,Viola (VLA),2021-22,3,3
Never an Athlete,Viola (VLA),2022-23,6,6
Never an Athlete,Viola (VLA),2023-24,6,6
Never an Athlete,Viola (VLA),2024-25,6,6
Never an Athlete,Violin (VLN),2021-22,10,10
Never an Athlete,Violin (VLN),2022-23,6,6
Never an Athlete,Violin (VLN),2023-24,12,12
Never an Athlete,Violin (VLN),2024-25,16,16
Never an Athlete,Violoncello (VCEL),2021-22,10,10
Never an Athlete,Violoncello (VCEL),2022-23,11,11
Never an Athlete,Violoncello (VCEL),2023-24,12,12
Never an Athlete,Violoncello (VCEL),2024-25,12,12
Never an Athlete,Voice (VOI),2021-22,24,24
Never an Athlete,Voice (VOI),2022-23,18,18
Never an Athlete,Voice (VOI),2023-24,20,20
Never an Athlete,Voice (VOI),2024-25,23,23
Never an Athlete,Women's and Gender Studies (WMST),2021-22,7,7
Never an Athlete,Women's and Gender Studies (WMST),2022-23,4,4
Never an Athlete,Women's and Gender Studies (WMST),2023-24,6,6
Never an Athlete,Women's and Gender Studies (WMST),2024-25,2,2
Total,Total,2021-22,2332,"2,332"
Total,Total,2022-23,2157,"2,157"
Total,Total,2023-24,2287,"2,287"
Total,Total,2024-25,2567,"2,567"
